Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A1,Arduino_Nano_v3.x,Arduino_Nano,59.868684,18.8955,90.0,top
C1,10uf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,6.458684,23.664113,0.0,top
C2,22uf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10.458684,23.664113,0.0,top
C3,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,32.558684,21.5255,180.0,top
C4,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,28.558684,21.5255,180.0,top
C5,10uf,CP_EIA-3216-18_Kemet-A,30.558684,24.0255,0.0,top
D1,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,13.058684,18.789113,-90.0,top
J1,Conn_01x02_Socket,AMASS_XT30U-F_1x02_P5.0mm_Vertical,15.968684,4.2955,180.0,top
J2,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,67.268684,31.6755,-90.0,top
J3,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,59.265559,31.6755,-90.0,top
J4,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,51.262434,31.6755,-90.0,top
J5,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,43.259309,31.6755,-90.0,top
J6,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,35.256184,31.6755,-90.0,top
J7,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,27.253059,31.6755,-90.0,top
J8,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,19.249934,31.6755,-90.0,top
J9,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,11.246809,31.6755,-90.0,top
J12,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,75.271809,31.6755,-90.0,top
J13,Conn_01x02_Socket,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,26.183684,4.5755,0.0,top
J14,Conn_01x02_Socket,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,34.933684,4.6005,0.0,top
R1,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,13.058684,14.514113,90.0,top
R2,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,17.458684,25.8955,90.0,top
R3,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,22.458684,11.8955,-90.0,top
R4,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,22.458684,25.8955,90.0,top
R5,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,17.458684,11.8955,-90.0,top
SW1,SW_SPDT,SW_SPDT_PCM12,6.943684,7.6955,-90.0,top
SW2,SW_Coded_SH-7010,Nidec_Copal_SH-7010A,19.958684,18.8955,90.0,top
U1,TB6612FNG,SSOP-24_5.3x8.2mm_P0.65mm,30.558684,14.5055,90.0,top
U2,AMS1117-5.0,SOT-223-3_TabPin2,8.458684,16.664113,-90.0,top
