Designator,Mid X,Mid Y,Rotation,Layer
A1,163.52,-98.99,90.0,top
C1,116.075,-93.2,0.0,top
C2,126.075,-93.325,0.0,top
C3,126.075,-100.125,0.0,top
C4,116.075,-100.0,0.0,top
C5,115.5375,-96.4,0.0,top
C6,125.9125,-96.6,0.0,top
J1,105.0,-99.6,270.0,top
J12,139.725,-98.99,180.0,top
J13,158.44,-109.8,270.0,top
J14,173.68,-109.975,90.0,top
J15,110.815,-109.0,90.0,top
J16,129.575,-105.525,0.0,top
J17,119.575,-105.525,0.0,top
J18,144.47,-88.6,270.0,top
R1,135.675,-107.575,180.0,top
R2,135.675,-93.325,180.0,top
R3,130.875,-93.325,180.0,top
R4,120.875,-93.325,180.0,top
SW2,135.675,-103.375,90.0,top
SW3,135.675,-97.525,90.0,top
SW4,110.55,-99.9,90.0,top
U1,150.78,-99.0,180.0,bottom
U2,130.775,-98.475,270.0,top
U3,120.775,-98.475,270.0,top
